YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1933-12,	 167.8,	0.627,	11.00
1934-01,	 262.0,	0.627,	11.00
1934-02,	  56.6,	0.627,	11.00
1934-03,	 598.4,	0.627,	11.00
1934-04,	 797.6,	0.627,	11.00
1934-05,	  61.1,	0.627,	11.00
1934-06,	  35.7,	0.627,	11.00
1934-07,	  25.7,	0.627,	11.00
1934-08,	  50.3,	0.627,	11.00
1934-09,	  40.1,	0.627,	11.00
1934-10,	  26.0,	0.627,	11.00
1934-11,	  91.5,	0.627,	11.00
1934-12,	 108.7,	0.627,	11.00
1935-01,	 371.6,	0.627,	11.00
1935-02,	 391.1,	0.627,	11.00
1935-03,	 657.3,	0.627,	11.00
1935-04,	 159.4,	0.627,	11.00
1935-05,	 655.1,	0.627,	11.00
1935-06,	  85.6,	0.627,	11.00
1935-07,	 145.3,	0.627,	11.00
1935-08,	 235.8,	0.627,	11.00
1935-09,	  31.9,	0.626,	10.90
1935-10,	  22.3,	0.582,	 8.00
1935-11,	  52.7,	0.582,	 8.00
1935-12,	 171.1,	0.544,	 7.00
1936-01,	  56.4,	0.343,	 2.00
1936-02,	 426.0,	0.343,	 2.00
1936-03,	 582.7,	0.343,	 2.00
1936-04,	 191.4,	0.343,	 2.00
1936-05,	 114.2,	0.343,	 2.00
1936-06,	  20.0,	0.343,	 2.00
1936-07,	   9.6,	0.343,	 2.00
1936-08,	   5.3,	0.343,	 2.00
1936-09,	  11.3,	0.343,	 2.00
1936-10,	  23.5,	0.343,	 2.00
1936-11,	  54.6,	0.343,	 2.00
1936-12,	  38.4,	0.343,	 2.00
1937-01,	1081.0,	0.343,	 2.00
1937-02,	 460.0,	0.343,	 2.00
1937-03,	 213.5,	0.343,	 2.00
1937-04,	 559.5,	0.343,	 2.00
1937-05,	 195.0,	0.343,	 2.00
1937-06,	 399.7,	0.343,	 2.00
1937-07,	 289.3,	0.343,	 2.00
1937-08,	  89.5,	0.343,	 2.00
1937-09,	  46.2,	0.389,	 3.00
1937-10,	  85.2,	0.389,	 3.00
1937-11,	  34.0,	0.389,	 3.00
1937-12,	 173.3,	0.389,	 3.00
1938-01,	 117.4,	0.389,	 3.00
1938-02,	 604.8,	0.389,	 3.00
1938-03,	 814.7,	0.389,	 3.00
1938-04,	 759.4,	0.419,	 4.00
1938-05,	  99.3,	0.419,	 4.00
1938-06,	 145.0,	0.419,	 4.00
1938-07,	 102.1,	0.419,	 4.00
1938-08,	  91.9,	0.495,	 5.00
1938-09,	  60.5,	0.512,	 5.53
1938-10,	  23.8,	0.526,	 7.00
1938-11,	  62.1,	0.526,	 7.00
1938-12,	  86.7,	0.526,	 7.00
1939-01,	 118.8,	0.526,	 7.00
1939-02,	 904.1,	0.526,	 7.00
1939-03,	1281.7,	0.571,	 9.00
1939-04,	 858.3,	0.571,	 9.00
1939-05,	 118.7,	0.571,	 9.00
1939-06,	 183.7,	0.571,	 9.00
1939-07,	  79.4,	0.571,	 9.00
1939-08,	  45.0,	0.571,	 9.00
1939-09,	  20.4,	0.571,	 9.00
1939-10,	  48.7,	0.629,	11.00
1939-11,	  60.3,	0.646,	11.73
1939-12,	  98.5,	0.652,	12.00
1940-01,	 113.6,	0.652,	12.00
1940-02,	 369.8,	0.652,	12.00
1940-03,	 933.8,	0.652,	12.00
1940-04,	1359.3,	0.652,	12.00
1940-05,	 278.1,	0.652,	12.00
1940-06,	 456.6,	0.652,	12.23
1940-07,	 122.1,	0.652,	13.00
1940-08,	  57.9,	0.652,	13.00
1940-09,	  72.0,	0.652,	13.00
1940-10,	  51.2,	0.652,	13.00
1940-11,	 129.6,	0.652,	13.00
1940-12,	 560.8,	0.652,	13.00
1941-01,	 442.2,	0.652,	13.00
1941-02,	 268.7,	0.652,	13.00
1941-03,	 373.4,	0.652,	13.00
1941-04,	 432.1,	0.652,	13.00
1941-05,	  93.1,	0.652,	13.00
1941-06,	 183.7,	0.652,	13.00
1941-07,	  57.4,	0.652,	13.00
1941-08,	  33.3,	0.652,	13.00
1941-09,	  28.2,	0.652,	13.00
1941-10,	  70.5,	0.652,	13.00
1941-11,	 107.9,	0.652,	13.00
1941-12,	 165.7,	0.652,	13.00
1942-01,	 180.9,	0.652,	13.00
1942-02,	 909.3,	0.652,	13.00
1942-03,	1349.8,	0.652,	13.00
1942-04,	1039.4,	0.652,	13.00
1942-05,	 262.9,	0.652,	13.00
1942-06,	 241.9,	0.652,	13.00
1942-07,	 119.9,	0.652,	13.00
1942-08,	 191.1,	0.652,	13.00
1942-09,	  96.3,	0.652,	13.00
1942-10,	 121.8,	0.652,	13.00
1942-11,	 514.0,	0.652,	13.00
1942-12,	 750.1,	0.652,	13.00
1943-01,	 678.4,	0.652,	13.00
1943-02,	 817.0,	0.652,	13.00
1943-03,	1007.8,	0.652,	13.00
1943-04,	 478.7,	0.652,	13.00
1943-05,	1931.0,	0.652,	13.00
1943-06,	 666.9,	0.652,	13.00
1943-07,	 588.2,	0.652,	13.00
1943-08,	 143.0,	0.652,	13.00
1943-09,	 125.3,	0.652,	13.00
1943-10,	  84.4,	0.690,	14.00
1943-11,	 181.4,	0.690,	14.00
1943-12,	  96.8,	0.690,	14.00
1944-01,	 120.0,	0.690,	14.00
1944-02,	 402.2,	0.690,	14.00
1944-03,	1086.4,	0.690,	14.00
1944-04,	1526.3,	0.690,	14.00
1944-05,	 547.0,	0.690,	14.00
1944-06,	 275.4,	0.690,	14.00
1944-07,	  48.7,	0.690,	14.00
1944-08,	  36.1,	0.690,	14.00
1944-09,	  36.7,	0.690,	14.00
1944-10,	  40.2,	0.690,	15.00
1944-11,	  66.6,	0.690,	15.00
1944-12,	  79.8,	0.690,	15.00
1945-01,	  82.1,	0.690,	15.00
1945-02,	 655.8,	0.690,	15.00
1945-03,	1332.9,	0.699,	16.52
1945-04,	 803.2,	0.707,	17.00
1945-05,	1003.5,	0.707,	17.00
1945-06,	 548.3,	0.707,	17.00
1945-07,	 160.5,	0.707,	17.00
1945-08,	  75.5,	0.707,	17.00
1945-09,	 115.4,	0.707,	17.00
1945-10,	 585.5,	0.773,	19.00
1945-11,	 303.1,	0.773,	19.00
1945-12,	 412.2,	0.773,	18.00
1946-01,	 643.9,	0.773,	18.00
1946-02,	 500.3,	0.773,	18.00
1946-03,	 933.0,	0.773,	19.00
1946-04,	 141.5,	0.773,	19.00
1946-05,	 430.1,	0.773,	19.00
1946-06,	 817.0,	0.773,	19.00
1946-07,	 131.8,	0.773,	19.00
1946-08,	  58.7,	0.773,	19.00
