YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1937-06,	 143,	0.445,	 5.0
1937-07,	  95,	0.445,	 5.0
1937-08,	 123,	0.445,	 5.0
1937-09,	  94,	0.445,	 5.0
1937-10,	 129,	0.445,	 5.0
1937-11,	 158,	0.445,	 5.0
1937-12,	 132,	0.445,	 5.0
1938-01,	 178,	0.445,	 5.0
1938-02,	1058,	0.445,	 5.0
1938-03,	 778,	0.445,	 5.0
1938-04,	 399,	0.445,	 5.0
1938-05,	 234,	0.445,	 5.0
1938-06,	 135,	0.445,	 5.0
1938-07,	  79,	0.445,	 5.0
1938-08,	  88,	0.445,	 5.0
1938-09,	  90,	0.445,	 5.0
1938-10,	  78,	0.445,	 5.0
1938-11,	 100,	0.445,	 5.0
1938-12,	 112,	0.445,	 5.0
1939-01,	 160,	0.445,	 5.0
1939-02,	 218,	0.445,	 5.0
1939-03,	 444,	0.445,	 5.0
1939-04,	 653,	0.445,	 5.0
1939-05,	 219,	0.445,	 5.0
1939-06,	 159,	0.445,	 5.4
1939-07,	  91,	0.445,	 6.0
1939-08,	  92,	0.445,	 6.0
1939-09,	  78,	0.445,	 6.0
1939-10,	  87,	0.489,	 7.0
1939-11,	 121,	0.489,	 7.0
1939-12,	 102,	0.489,	 7.0
1940-01,	  96,	0.489,	 7.0
1940-02,	  84,	0.489,	 7.0
1940-03,	 200,	0.489,	 7.0
1940-04,	 639,	0.489,	 7.0
1940-05,	 312,	0.489,	 7.0
1940-06,	 221,	0.489,	 7.0
1940-07,	 103,	0.489,	 7.0
1940-08,	  93,	0.489,	 7.0
1940-09,	 111,	0.489,	 7.0
1940-10,	 133,	0.489,	 7.0
1940-11,	 229,	0.489,	 7.0
1940-12,	 419,	0.489,	 7.0
1941-01,	 365,	0.489,	 7.0
1941-02,	 215,	0.489,	 7.0
1941-03,	 364,	0.489,	 7.0
1941-04,	 630,	0.489,	 7.0
1941-05,	 140,	0.489,	 7.0
1941-06,	  87,	0.489,	 7.0
1941-07,	  56,	0.489,	 7.0
1941-08,	  52,	0.489,	 7.0
1941-09,	  74,	0.489,	 7.0
1941-10,	 262,	0.489,	 7.0
1941-11,	 380,	0.489,	 7.0
1941-12,	 268,	0.489,	 7.0
1942-01,	 196,	0.489,	 7.0
1942-02,	 170,	0.489,	 7.0
1942-03,	1381,	0.489,	 4.9
1942-04,	 453,	0.567,	 9.0
1942-05,	 306,	0.567,	 9.0
1942-06,	 376,	0.567,	 9.0
1942-07,	 125,	0.567,	 9.0
1942-08,	 111,	0.567,	 9.0
1942-09,	 136,	0.567,	 9.0
1942-10,	 180,	0.567,	 9.0
1942-11,	 364,	0.567,	 9.0
1942-12,	 334,	0.567,	 8.6
1943-01,	 405,	0.567,	 8.4
1943-02,	 671,	0.567,	 8.2
1943-03,	1090,	0.567,	 7.2
1943-04,	 674,	0.567,	 8.8
1943-05,	 798,	0.567,	 7.1
1943-06,	 567,	0.567,	 8.0
1943-07,	 192,	0.567,	 9.0
1943-08,	 140,	0.567,	 9.0
1943-09,	 118,	0.567,	 9.0
1943-10,	 116,	0.567,	 9.0
1943-11,	 255,	0.567,	 9.0
1943-12,	 186,	0.567,	 9.0
1944-01,	 184,	0.567,	 9.0
1944-02,	 310,	0.567,	 9.0
1944-03,	 488,	0.567,	 9.0
1944-04,	 560,	0.567,	 9.0
1944-05,	 363,	0.567,	 9.0
1944-06,	 182,	0.567,	 9.0
1944-07,	  93,	0.567,	 9.0
1944-08,	  81,	0.567,	 9.0
1944-09,	  86,	0.567,	 9.0
1944-10,	  96,	0.567,	 9.0
1944-11,	 123,	0.567,	 9.0
1944-12,	 119,	0.567,	 9.0
1945-01,	 104,	0.567,	 9.0
1945-02,	 149,	0.567,	 9.0
1945-03,	 481,	0.567,	 9.0
1945-04,	 340,	0.632,	11.0
1945-05,	 635,	0.632,	10.3
1945-06,	 743,	0.632,	10.1
1945-07,	 228,	0.632,	11.0
1945-08,	 134,	0.632,	11.6
1945-09,	 239,	0.632,	11.7
1945-10,	 580,	0.743,	14.0
1945-11,	 393,	0.743,	14.0
1945-12,	 252,	0.692,	13.0
1946-01,	 576,	0.632,	11.0
1946-02,	 284,	0.632,	12.0
1946-03,	1635,	0.743,	11.6
1946-04,	 270,	0.743,	14.0
1946-05,	 229,	0.743,	14.0
1946-06,	 223,	0.743,	14.0
1946-07,	 154,	0.743,	14.0
1946-08,	 116,	0.743,	14.0
1946-09,	 102,	0.743,	14.0
1946-10,	 102,	0.743,	14.0
1946-11,	 133,	0.743,	14.0
1946-12,	 150,	0.743,	15.0
1947-01,	 236,	0.632,	13.0
1947-02,	 215,	0.632,	13.0
1947-03,	 622,	0.672,	13.4
1947-04,	2059,	0.743,	13.2
1947-05,	1021,	0.743,	13.2
1947-06,	 691,	0.743,	14.3
1947-07,	 257,	0.743,	15.0
1947-08,	 148,	0.743,	15.0
1947-09,	 177,	0.743,	15.0
1947-10,	 145,	0.743,	15.0
1947-11,	 180,	0.743,	15.0
1947-12,	 328,	0.743,	15.0
1948-01,	 187,	0.743,	15.0
1948-02,	 340,	0.743,	15.0
1948-03,	1775,	0.743,	13.5
1948-04,	 711,	0.743,	14.6
1948-05,	 522,	0.743,	14.9
1948-06,	 223,	0.743,	15.0
1948-07,	 156,	0.743,	15.0
1948-08,	 111,	0.743,	15.0
1948-09,	  83,	0.743,	15.0
1948-10,	  96,	0.743,	15.0
1948-11,	 179,	0.743,	15.0
1948-12,	 151,	0.743,	15.0
1949-01,	 416,	0.743,	15.0
1949-02,	 672,	0.743,	15.0
1949-03,	 700,	0.743,	15.0
1949-04,	 471,	0.743,	15.0
1949-05,	 204,	0.743,	15.0
1949-06,	 150,	0.743,	15.0
1949-07,	 140,	0.743,	15.0
1949-08,	  97,	0.743,	15.0
1949-09,	 102,	0.743,	15.0
1949-10,	 152,	0.743,	15.0
1949-11,	 143,	0.743,	15.0
1949-12,	 664,	0.743,	15.0
1950-01,	 776,	0.743,	15.0
1950-02,	 413,	0.743,	14.8
1950-03,	1255,	0.743,	13.7
1950-04,	1525,	0.743,	13.6
1950-05,	 313,	0.743,	15.0
1950-06,	 220,	0.743,	15.0
1950-07,	 216,	0.743,	14.8
1950-08,	 150,	0.743,	15.0
1950-09,	 223,	0.743,	15.0
1950-10,	 177,	0.743,	16.0
1950-11,	 412,	0.743,	15.7
1950-12,	 727,	0.743,	15.8
1951-01,	 685,	0.743,	16.0
1951-02,	 850,	0.743,	15.0
1951-03,	1109,	0.743,	14.5
1951-04,	1225,	0.769,	16.1
1951-05,	 380,	0.769,	17.0
1951-06,	 224,	0.769,	17.0
1951-07,	 172,	0.769,	17.0
1951-08,	 128,	0.769,	17.0
1951-09,	 153,	0.769,	17.0
1951-10,	 336,	0.769,	17.0
1951-11,	 585,	0.769,	16.7
1951-12,	 426,	0.769,	17.0
1952-01,	 906,	0.769,	16.1
1952-02,	 605,	0.769,	16.5
1952-03,	1062,	0.769,	15.2
1952-04,	1300,	0.769,	15.7
1952-05,	 359,	0.769,	17.0
1952-06,	 169,	0.769,	17.0
1952-07,	 256,	0.845,	17.7
1952-08,	 204,	0.871,	18.0
1952-09,	 175,	0.871,	18.0
1952-10,	 135,	0.871,	18.0
1952-11,	 203,	0.871,	18.0
1952-12,	 338,	0.871,	18.0
1953-01,	 350,	0.871,	18.0
1953-02,	 422,	0.871,	18.0
1953-03,	1023,	0.871,	18.0
1953-04,	 577,	0.871,	18.0
1953-05,	 662,	0.871,	18.0
1953-06,	 413,	0.871,	19.0
1953-07,	 265,	0.871,	19.0
1953-08,	 220,	0.871,	19.0
1953-09,	 161,	0.871,	19.0
1953-10,	 150,	0.871,	19.0
1953-11,	 170,	0.871,	18.0
1953-12,	 222,	0.871,	18.0
1954-01,	 204,	0.871,	18.0
1954-02,	 965,	0.871,	16.6
1954-03,	1112,	0.871,	17.2
1954-04,	 977,	0.871,	17.5
1954-05,	 398,	0.871,	17.7
1954-06,	 458,	0.871,	18.0
1954-07,	 167,	0.871,	18.0
1954-08,	 143,	0.871,	18.0
1954-09,	 181,	0.871,	18.0
1954-10,	 817,	0.871,	17.0
1954-11,	 425,	0.871,	17.0
1954-12,	 409,	0.871,	17.0
1955-01,	 480,	0.871,	17.0
1955-02,	 390,	0.871,	17.0
1955-03,	1225,	0.871,	18.0
1955-04,	 818,	0.871,	18.0
1955-05,	 330,	0.871,	17.0
1955-06,	 254,	0.871,	17.0
1955-07,	 133,	0.871,	17.0
1955-08,	 121,	0.871,	17.0
1955-09,	 116,	0.871,	17.0
1955-10,	 141,	0.871,	17.0
1955-11,	 225,	0.871,	17.0
1955-12,	 240,	0.871,	17.0
1956-01,	 187,	0.871,	17.0
1956-02,	 196,	0.871,	17.0
1956-03,	 955,	0.871,	16.8
1956-04,	1113,	0.871,	17.1
1956-05,	1254,	0.871,	14.9
1956-06,	 270,	0.871,	17.0
1956-07,	 241,	0.871,	17.0
1956-08,	 259,	0.871,	17.0
1956-09,	 216,	0.871,	17.0
1956-10,	 167,	0.871,	17.0
