Date,Observed,Inflow_cms,Outflow_cms,Precip_mm,Evap_mm,Runoff_cms,P_minus_E_m,Seconds,Runoff_h,s_t,WO_opt,Controlled,Release_m
2018-02-01,74.9,6540,8211.88472333904,77.68,31.643,2098.0,0.04603700000000001,2419200,0.2676941772151899,0.3137311772151899,74.82,74.20162110927784,0.0
2018-03-01,74.93,6900,8976.43950792578,61.04,48.662,1593.0,0.012378,2678400,0.22503645569620254,0.23741445569620254,74.84,74.30202826103407,0.0
2018-04-01,75.01,7240,8523.37000594845,117.84,32.662,2579.0,0.085178,2592000,0.3525721518987342,0.43775015189873423,75.0,74.24611278118024,0.0
2018-05-01,75.26,7400,7730.49837748813,54.98,-1.253,1243.0,0.056233,2678400,0.17559341772151899,0.231826417721519,75.15,74.50841488163287,0.0
2018-06-01,75.22,7270,9344.55847828236,65.89,17.058,452.0,0.048832,2592000,0.06179240506329114,0.11062440506329113,75.16,74.69355317412949,0.0
2018-07-01,75.06,7050,9118.02372729369,79.43,49.743,378.0,0.029687000000000005,2678400,0.053398481012658226,0.08308548101265822,75.13,74.52056705304786,0.0
2018-08-01,74.91,6930,8636.63738144278,109.01,59.209,455.0,0.049801000000000005,2678400,0.06427594936708861,0.11407694936708862,75.01,74.31151146068586,0.0
2018-09-01,74.74,6660,8410.10263045412,78.78,84.729,388.0,-0.005948999999999998,2592000,0.05304303797468354,0.04709403797468355,74.82,74.18449887616812,0.0
2018-10-01,74.62,6760,7843.76575298246,102.88,108.271,741.0,-0.005391000000000005,2678400,0.1046779746835443,0.09928697468354429,74.65,73.99233837732123,0.0
2018-11-01,74.62,6990,7815.44890910888,122.24,94.926,1695.0,0.027313999999999995,2592000,0.23172151898734178,0.2590355189873418,74.56,73.93852629120371,0.0
2018-12-01,74.71,6920,8211.88472333904,82.54,74.244,1996.0,0.008296000000000006,2678400,0.28196658227848104,0.29026258227848106,74.57,74.08471563021162,0.0
2019-01-01,74.83,6980,8381.78578658054,97.42,119.287,1543.0,-0.021867000000000004,2678400,0.21797316455696203,0.19610616455696203,74.72,74.1924790541045,0.0
2019-02-01,74.97,6820,7475.64678262588,77.56,51.517,1865.0,0.026043,2419200,0.23796455696202531,0.2640075569620253,74.82,74.19056079615211,0.0
2019-03-01,74.97,6810,8721.58791306353,59.17,38.679,1746.0,0.020491,2678400,0.24665012658227847,0.26714112658227845,74.84,74.37091114338162,0.0
2019-04-01,75.15,7060,8636.63738144278,98.23,10.745,2640.0,0.087485,2592000,0.3609113924050633,0.4483963924050633,75.0,74.36801023059948,0.0
2019-05-01,75.7,7850,6088.12143282032,134.58,-2.213,2138.0,0.136793,2678400,0.3020263291139241,0.4388193291139241,75.15,74.60086632275666,0.0
2019-06-01,75.91,8070,8919.80582017861,113.49,6.965,1392.0,0.106525,2592000,0.19029873417721518,0.2968237341772152,75.16,75.16,0.12857887731014728
2019-07-01,75.8,7830,10392.2817016049,72.2,30.215,605.0,0.041985,2678400,0.08546582278481013,0.12745082278481012,75.13,75.13,0.21064774863380364
2019-08-01,75.53,7650,10420.5985454785,79.02,85.05,364.0,-0.0060300000000000015,2678400,0.051420759493670885,0.045390759493670885,75.01,74.89548799000113,0.0
2019-09-01,75.24,7280,9995.84588737476,87.83,64.976,399.0,0.022854,2592000,0.054546835443037976,0.07740083544303797,74.82,74.54948786636137,0.0
2019-10-01,75.04,7150,9089.70688342011,151.31,73.65,940.0,0.07765999999999999,2678400,0.13278987341772153,0.21044987341772153,74.65,74.25560850454306,0.0
2019-11-01,75.04,7200,8863.17213243145,73.97,115.221,1600.0,-0.041251,2592000,0.21873417721518987,0.17748317721518986,74.56,74.19204408911308,0.0
2019-12-01,75.0,7190,8863.17213243145,95.0,90.073,1612.0,0.004927000000000007,2678400,0.22772050632911392,0.23264750632911393,74.57,74.14215689885664,0.0
2020-01-01,75.05,7530,10194.0637944898,96.19,74.57,2106.0,0.021620000000000004,2678400,0.29750582278481014,0.31912582278481016,74.72,74.13844236723722,0.0
2020-02-01,75.12,7700,10307.3311699842,66.66,57.501,1232.0,0.009158999999999999,2505600,0.16281113924050633,0.17197013924050633,74.82,74.0812270261422,0.0
2020-03-01,75.18,7660,8778.2216008107,79.64,24.218,2400.0,0.055422,2678400,0.3390379746835443,0.3944599746835443,74.84,73.90863340064048,0.0
2020-04-01,75.32,7920,8495.05316207487,68.56,26.171,1394.0,0.042389,2592000,0.19057215189873417,0.23296115189873418,75.0,74.14512688082975,0.0
2020-05-01,75.36,7830,9004.75635179936,66.2,24.811,1196.0,0.041389,2678400,0.16895392405063292,0.21034292405063293,75.15,74.29947317006508,0.0
2020-06-01,75.29,7790,9542.77638539744,48.0,26.376,395.0,0.021623999999999997,2592000,0.054,0.075624,75.16,74.3438631715071,0.0
2020-07-01,75.18,7700,9231.29110278803,76.56,43.924,380.0,0.032636000000000005,2678400,0.05368101265822785,0.08631701265822786,75.13,74.17986710869327,0.0
2020-08-01,75.05,7420,8806.53844468428,112.61,86.182,269.0,0.026427999999999997,2678400,0.03800050632911393,0.06442850632911393,75.01,74.04986502379309,0.0
2020-09-01,74.85,7170,8438.4194743277,56.88,84.265,204.0,-0.027385,2592000,0.02788860759493671,0.0005036075949367107,74.82,73.9184230359111,0.0
2020-10-01,74.7,7020,8410.10263045412,95.69,86.567,336.0,0.009123000000000004,2678400,0.0474653164556962,0.05658831645569621,74.65,73.74552246220554,0.0
2020-11-01,74.6,7170,8240.20156721262,76.07,74.21,599.0,0.0018599999999999995,2592000,0.08188860759493671,0.08374860759493671,74.56,73.60573678681482,0.0
2020-12-01,74.62,7200,8070.30050397113,104.42,98.451,1137.0,0.005969000000000008,2678400,0.16061924050632911,0.16658824050632912,74.57,73.54317935737309,0.0
